##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	16-17	-0.163602511875105
1103	18-19	-0.06114088125557515
1103	20-21	0.058469065447845026
1103	22-23	-0.016578528345192467
1103	24-25	-0.0511148622982418
1103	26-27	-0.020692353741161185
1103	28-29	-0.1286350943195771
1103	30-31	-0.1564267980253149
1103	32-33	-0.08130895739399335
1103	34-35	-0.3861017938989093
1103	36-37	-0.3573783417525931
1103	38-39	-0.34536409373913557
1103	40-41	-0.23801326716279192
1103	42-43	-0.3180621639382366
1103	44-45	-0.2413673329478172
1103	46-47	-0.20955629577977675
1103	48-49	-0.261154245817643
1103	50-51	-0.4009846526914629
1103	52-53	-0.4102083735806161
1103	54-55	-0.3694144000287167
1103	56-57	-0.36134309633025197
1103	58-59	-0.3960161255410881
1103	60-61	-0.4534108467468201
1103	62-63	-0.3900386432550462
1103	64-65	-0.42669765221175737
1103	66-67	-0.28183136728911506
1103	68-69	-0.22334900754933784
1103	70-71	-0.20113579326066144
1103	72-73	-0.18289119171312507
1103	74-75	-0.21270742601905823
1103	76-77	-0.3532687204523839
1103	78-79	-0.21032061331610663
1103	80-81	-0.1002000158371601
1103	82-83	-0.0723014297344804
1103	84-85	-0.038780712192149736
1103	86-87	-0.1020283027977058
1103	88-89	0.13678871758821032
1103	90-91	0.11134811916625154
1103	92-93	0.2457026684827568
1103	94-95	0.19033553776093726
1103	96-97	0.14756380371255062
1103	98-99	0.2800331328724255
1103	100-101	0.009644212151492582
1104	1	-1.5733386106676193
1104	2	-0.16286985063094406
1104	3	-0.48720385504345387
1104	4	-0.10888399074578814
1104	5	0.1251059692778682
1104	6	0.1451379332522862
1104	7	0.10677063399511155
1104	8	0.19901465596849732
1104	9	-0.07422259277205256
1104	10-11	-0.12993447400944547
1104	12-13	-0.1060571386877669
1104	14-15	-0.1263373472979339
1104	16-17	-0.13734915221009913
1104	18-19	0.03727928727580121
1104	20-21	0.18824137516156014
1104	22-23	-0.016798566863101883
1104	24-25	0.0642804664198664
1104	26-27	-0.04590856569234347
1104	28-29	-0.024458020865267827
1104	30-31	-0.1032440323554411
1104	32-33	-0.012342182538326085
1104	34-35	-0.0768171628109755
1104	36-37	-0.054114472832289096
1104	38-39	-0.13528556987259321
1104	40-41	-0.28922019303335134
1104	42-43	-0.2938973945366925
1104	44-45	-0.1252642114952991
1104	46-47	-0.1870670210551708
1104	48-49	-0.17048478546826829
1104	50-51	-0.2940681324295582
1104	52-53	-0.33966324366416245
1104	54-55	-0.32773122402112165
1104	56-57	-0.2797943277830015
1104	58-59	-0.426612442743469
1104	60-61	-0.3996718430364723
1104	62-63	-0.25631613845563805
1104	64-65	-0.26097882146243734
1104	66-67	-0.16782661554236
1104	68-69	-0.17357681651134982
1104	70-71	-0.14924497403428916
1104	72-73	-0.18042000449894147
1104	74-75	-0.11230967509199274
1104	76-77	-0.34292175270806524
1104	78-79	-0.16583598009184186
1104	80-81	-0.018844018547149233
1104	82-83	-0.027892918323900062
1104	84-85	4.680140306945191E-4
1104	86-87	-0.009496764117663758
1104	88-89	0.07265493457884276
1104	90-91	0.30540631261101225
1104	92-93	0.38881950390420883
1104	94-95	0.35846121616575033
1104	96-97	0.2660461664254612
1104	98-99	0.45641443089137823
1104	100-101	0.2254235387227581
1105	1	-1.750774387914749
1105	2	-0.1713644447839826
1105	3	-0.44556879780358827
1105	4	-0.2082672051310368
1105	5	0.19821530947744748
1105	6	0.13833279351570837
1105	7	0.02834579983127128
1105	8	0.17468763523861952
1105	9	0.04655234424603094
1105	10-11	-0.0779601961317482
1105	12-13	-0.1286657816124972
1105	14-15	-0.09252208408417317
1105	16-17	-0.11100972457189329
1105	18-19	-0.02323152279944196
1105	20-21	0.16028234639313155
1105	22-23	-0.024004605798978673
1105	24-25	-0.1262772973613906
1105	26-27	-0.15724681260360995
1105	28-29	-0.08604900174614727
1105	30-31	-0.11274193697195756
1105	32-33	-0.07298399740030703
1105	34-35	-0.12959639606471995
1105	36-37	-0.12781964309529315
1105	38-39	-0.1054627554816534
1105	40-41	-0.11674987199994291
1105	42-43	-0.13872157390213857
1105	44-45	-0.06503311440183523
1105	46-47	-0.2948992087707012
1105	48-49	-0.19877825830027973
1105	50-51	-0.1656978879027733
1105	52-53	-0.25400290399312553
1105	54-55	-0.2942943722457656
1105	56-57	-0.1539681290774766
1105	58-59	-0.30291289528977927
1105	60-61	-0.34224463295269913
1105	62-63	-0.48051363055189
1105	64-65	-0.40138454820822744
